
2019-05-25 13:20:03 INFO  RestAPIEmp:25 - ****** Executing the Test Case 3_POST Method *******
2019-05-25 13:20:11 INFO  RestAPIEmp:46 - The Results are:{"name":"EMP-db","salary":"94995","age":"09","id":"11007"}
2019-05-25 13:20:14 INFO  RestAPIEmp:63 - The Status Code is:200
2019-05-25 13:20:14 INFO  RestAPIEmp:70 - The Response Time is:1965
2019-05-25 13:20:14 INFO  RestAPIEmp:78 - Status line is:HTTP/1.1 200 OK
2019-05-25 13:20:14 INFO  RestAPIEmp:85 - The Content Type is:text/html; charset=UTF-8
2019-05-25 13:20:14 INFO  RestAPIEmp:92 - The Server Type is:nginx/1.14.1
2019-05-25 13:20:14 INFO  RestAPIEmp:99 - The Content Encoding is:gzip
2019-05-25 13:20:14 INFO  RestAPIEmp:105 - ***** The Test Case 3 is Successfully Executed*******
2019-05-26 06:21:32 INFO  RestAPIEmp:17 - ********* Executing Case 1_GET Method ********
2019-05-26 06:21:46 INFO  RestAPIEmp:27 - The Result is:[{"id":"11164","employee_name":"Raul","employee_salary":"727","employee_age":"47","profile_image":""},{"id":"11165","employee_name":"Rahul","employee_salary":"12900","employee_age":"19","profile_image":""},{"id":"11175","employee_name":"I am Abhishek sinha","employee_salary":"20000","employee_age":"25","profile_image":""},{"id":"11179","employee_name":"test","employee_salary":"123","employee_age":"23","profile_image":""},{"id":"11184","employee_name":"rte Singh","employee_salary":"50000","employee_age":"23","profile_image":""},{"id":"11196","employee_name":"Nitesh1","employee_salary":"123","employee_age":"23","profile_image":""},{"id":"11200","employee_name":"\u0422\u0423\u0422 \u0411\u042b\u041b \u0410\u041b\u0415\u041a\u0421\u0415\u0419","employee_salary":"0","employee_age":"0","profile_image":""},{"id":"11201","employee_name":"Test Name","employee_salary":"100000","employee_age":"35","profile_image":""},{"id":"11204","employee_name":"test1","employee_salary":"123","employee_age":"23","profile_image":""},{"id":"11206","employee_name":"Test Name1","employee_salary":"100000","employee_age":"35","profile_image":""},{"id":"11209","employee_name":"Test Name123","employee_salary":"100000","employee_age":"35","profile_image":""},{"id":"11210","employee_name":"Name123","employee_salary":"100000","employee_age":"35","profile_image":""},{"id":"11211","employee_name":"Name100","employee_salary":"100000","employee_age":"35","profile_image":""},{"id":"11212","employee_name":"test11","employee_salary":"123","employee_age":"23","profile_image":""},{"id":"11213","employee_name":"Amit Negi111","employee_salary":"123456","employee_age":"44","profile_image":""},{"id":"11216","employee_name":"Name101","employee_salary":"100000","employee_age":"35","profile_image":""},{"id":"11217","employee_name":"dummy05","employee_salary":"500000","employee_age":"38","profile_image":""},{"id":"11218","employee_name":"dummy06","employee_salary":"100000","employee_age":"30","profile_image":""},{"id":"11224","employee_name":"Mango Minggi","employee_salary":"3422","employee_age":"66","profile_image":""},{"id":"11230","employee_name":"irum","employee_salary":"123","employee_age":"23","profile_image":""},{"id":"11233","employee_name":"87761","employee_salary":"123","employee_age":"23","profile_image":""},{"id":"11236","employee_name":"kasun","employee_salary":"123","employee_age":"23","profile_image":""},{"id":"11241","employee_name":"ztestd;ls","employee_salary":"99999","employee_age":"23","profile_image":""},{"id":"11245","employee_name":"sree","employee_salary":"3000","employee_age":"30","profile_image":""},{"id":"11248","employee_name":"testEEEEEE","employee_salary":"123","employee_age":"23","profile_image":""},{"id":"11251","employee_name":"abcLB","employee_salary":"39030","employee_age":"96","profile_image":""},{"id":"11252","employee_name":"suranjan","employee_salary":"1000","employee_age":"30","profile_image":""},{"id":"11255","employee_name":"EmployeeName:a","employee_salary":"43411","employee_age":"0","profile_image":""},{"id":"11258","employee_name":"Maitrayee","employee_salary":"123","employee_age":"23","profile_image":""},{"id":"11259","employee_name":"Adam ","employee_salary":"1111","employee_age":"35","profile_image":""},{"id":"11260","employee_name":"50","employee_salary":"0","employee_age":"666","profile_image":""},{"id":"11261","employee_name":"Audheshu","employee_salary":"67","employee_age":"40","profile_image":""},{"id":"11262","employee_name":"john","employee_salary":"23","employee_age":"30","profile_image":""}]
2019-05-26 06:21:46 INFO  RestAPIEmp:35 - The Status Code is:200
2019-05-26 06:21:46 INFO  RestAPIEmp:42 - The Response Time is:8426
2019-05-26 06:21:46 INFO  RestAPIEmp:49 - ******* Getting the Status Line******
2019-05-26 06:21:46 INFO  RestAPIEmp:52 - Satus line is:HTTP/1.1 200 OK
2019-05-26 06:21:46 INFO  RestAPIEmp:59 - The Content Type is:text/html; charset=UTF-8
2019-05-26 06:21:46 INFO  RestAPIEmp:66 - The Server Type is:nginx/1.14.1
2019-05-26 06:21:46 INFO  RestAPIEmp:73 - The Content Encoding is:gzip
